CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
1.6475,230,26,918,0.23,1.34,6.814,0,0.14,1.26,0.41,2512,32,29,1.63,34,17,289,3,6.29,5.44,1,480.4,4.25,0.007
1.6475,0,18,838,0.11,0.59,5.034,0,0.1,0.89,0.12,3400,6,20,0.9,37,17,381,2,4.20,1.71,1,268.5,4.25,0.0007
1.6475,25,21,734,0.03,0.51,5.84,0,0.09,0.62,0.55,2104,4,20,0.93,20,17,463,3,4.84,1.96,0,221.8,4.25,0.002
1.54,168,3.5,188.5,0.355,0.61,0.4295,0,0.19,0,1.445,371,1,47,0.725,23,17,192.5,5.5,7.31,2.705,0,571.25,4,0.004
1.9,109,2,283,0.32,0.74,0.541,0,0.16,0,1.07,596,2,43,0.64,18,17,124,2,6.97,1.8,0,440.6,4.25,0.004
1.6475,146.8,5.5,402,0.085,0.665,3.457,0.0236,3.275,0.775,0.16,3577,2.7,39.15,1.07,25.125,17,227,4,4.39,1.945,1,454.25,4.25,0.0002
1.6475,146.8,5.5,402,0.04,0.58,3.457,0.0198,2.133333333,0.596666667,0.583333333,2224.333333,2.7,39.15,1.13,25.125,17,227,4,5.45,2.7,1,454.25,4.25,0.0009
3.44,150,2,299,0.36,0.76,2.191,0,0.2,0,1.66,720,1,48,1.07,24,17,162,6,7.05,2.75,1,525,3.25,0.004
1.6475,641,30,942,0.485,1.56,7.646,0,0.52,1.22,0.425,2247,43.5,41,2.17,41,17,411,7.5,6.52,6.245,1,708.25,4.25,0.004
1.6475,0,25,880,0.15,0.68,5.699,0,0.1,1.09,0.11,3883,5,17,0.94,35,17,318,4,4.26,2.04,1,326.9,4.25,0.0003
1.6475,42,31,897,0.07,0.54,6.242,0,0.12,0.88,0.36,2378,5,0,0.96,21,17,484,4,4.93,2.1,1,277.6,4.25,0.0008
1.6475,154,3,292,0.39,0.76,3.457,0,0.23,0,1.71,753,2.7,45,1.11,24,17,152,5,7.17,2.73,1,523,4.25,0.004
1.6475,292,26,908,0.22,1.48,7.506,0,0.19,1.17,0.39,2460,30,118,1.79,39,17,385,8,6.45,6.07,4,1362,4.25,0.005
1.6475,0,27,995,0.17,0.72,5.285,0,0.1,1.12,0.09,4227,2.7,45,0.91,39,17,382,4,4.18,2.15,8,516,4.25,0.0006
1.6475,153,3,279,0.35,0.74,2.145,0,0.2,0,1.7,746,1,68,1.04,24,17,158,4,7.06,2.72,1,702.5,4.25,0.004
1.1,164,2,199,0.36,0.6,0.373,0,0.17,0,1.33,435,2.7,54,0.71,22,17,190,4,7.24,2.65,1,505,4.5,0.004
2.1,229,2,228.5,0.305,0.75,0.5275,0,0.16,0.02,1.135,615,1,53.5,0.64,18,17,125.5,3.5,6.94,1.82,1,579.55,4.25,0.004
1.6475,153,3,289,0.43,0.76,2.143,0,0.28,0,1.8,719,0,65,1.12,25,17,167,5,7.04,2.71,1,604,2.75,0.004
1.6475,291,27,862,0.31,1.44,7.477,0,0.14,1.06,0.52,2211,40,36,1.89,39,17,407,5,6.46,5.83,4,694.4,4.25,0.012
1.6475,0,31,1010,0.19,0.8,4.162,0,0.12,1.15,0.13,4684,0,80,0.92,43,17,441,7,4.12,2.34,8,838.7,4.25,0.0017
1.6475,19,73,1310,0.07,0.63,6.381,0,0.17,1.15,0.3,3444,0,82,1.01,25,17,467,5,4.66,2.45,11,860.5,4.25,0.0027
1.6475,158,2,271,0.37,0.73,2.114,0,0.11,0.02,0.34,754,0,81,1.05,24,17,160,4,7.12,2.68,1,684.4,4.25,0.004
1.6475,146.8,5.5,402,0.218,1.473333333,3.457,0.014433333,0.145,1.07,0.515,1945.857143,2.7,39.15,2.124285714,25.125,17,227,4,6.96,6.52,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.318,0.928,3.457,0.03274,0.192,1.082,0.192,3293.4,2.7,39.15,1.175,25.125,17,227,4,4.46,2.856,1,454.25,4.25,0.0008
1.6475,146.8,5.5,402,0.055,0.643333333,3.457,0.026466667,0.18,0.92,0.413333333,2085.333333,2.7,39.15,1.19,25.125,17,227,4,5.17,2.663333333,1,454.25,4.25,0.0003
1.6475,182,25,971,0.27,1.19,6.796,0,0.18,1.12,0.55,2735,0,98,1.62,32,17,309,14,6.01,4.9,4,1276,4.25,0.035
1.6475,0,24,923,0.27,0.79,4.218,0,0.13,1.02,0.2,4572,2,45,0.86,48,17,452,6,4.10,2.25,7,569.5,4.25,0.0056
1.6475,20,42,1067,0.09,0.71,6.292,0,0.32,1.09,0.36,3409,14,44,1.08,28,17,504,6,4.71,2.82,8,442.3,4.25,0.0033
1.6475,158,2,261,0.37,0.73,2.053,0,0.21,0,1.81,744,0,58,1.05,25,17,163,5,7.08,2.64,1,513.5,4.25,0.004
1.6475,146.8,5.5,402,0.31,1.37,3.457,0,0.205,0.883333333,0.593333333,2594,2.7,39.15,1.96,25.125,17,227,4,6.60,5.856666667,1,454.25,4.25,0.022
1.6475,146.8,5.5,402,0.2625,0.975,3.457,0.02225,0.155,1.0675,0.18,4780.25,2.7,39.15,1.2,25.125,17,227,4,4.25,3.163333333,1,454.25,4.25,0.0025
1.455,338,2.5,189.5,0.385,0.58,0.3565,0,0.21,0,1.465,349,1,35,1.08,23,17,193,5,7.28,2.595,0,439.2,5.75,0.004
2.59,116,3,255,0.31,0.69,1.414,0,0.16,0.02,1.13,605,1,43,0.61,18,17,121,4,7.04,1.68,0,455.3,4.25,0.004
3.09,157,3,260,0.34,0.78,2.288,0,0.25,0.02,2.35,727,0,62,1.1,25,17,176,5,6.92,2.86,0,453.4,2.75,0.004
1.6475,558,24.5,893.5,0.315,1.585,7.619,0,0.14,1.385,0.38,2640,12.5,41.5,1.965,36.5,17,381.5,6,6.38,6.26,4,655.75,4.25,0.005
1.6475,0,32,1037,0.25,0.83,4.985,0,0.12,1.33,0.1,4427,0,45,0.95,38,17,407,6,4.22,2.49,9,509.5,4.25,0.0005
1.6475,24,35,969,0.02,0.57,6.492,0,0.14,0.95,0.43,2542,4,20,1.02,21,17,418,4,4.79,2.21,6,362.2,4.25,0.0016
1.6475,155,2,272,0.35,0.78,2.219,0,0.2,0.02,1.82,728,2,54,1.12,24,17,164,4,7.16,2.86,0,420,4.25,0.004
1.6475,296,27,926,0.52,1.64,7.557,0,0.23,1.28,0.56,2454,1,62,2.13,37,17,408,6,6.46,6.27,9,770.5,4.25,0.007
1.6475,0,41,1096,0.3,0.89,5.49,0.015,0.23,1.45,0.08,4708,0,46,0.99,39,17,427,4,4.15,2.66,14,651,4.25,0.0009
1.6475,30,54,1072,0.05,0.58,6.306,0,0.23,1.02,0.3,2830,0,44,1.06,20,17,384,5,4.85,2.21,13,584.5,4.25,0.0016
1.6475,159,4,262,0.34,0.78,2.078,0,0.24,0,1.87,692,3,50,1.12,23,17,170,5,7.04,2.84,0,534,4.25,0.004
3.035,121,3.5,260,0.34,0.81,0.495,0,5.16,0.035,1.22,574,2,48,0.71,18,17,163.5,3,6.94,1.98,0,492.6,4.25,0.004
3.47,160,3,282,0.44,0.88,2.277,0,0.25,0.09,1.89,677,0,43,1.22,25,17,188,3,6.83,3.13,0,438.2,2.75,0.004
1.6475,156,23,957,0.44,1.2,7.032,0,0.33,1.09,0.63,2682,47,45,1.68,30,17,298,6,5.79,4.63,5,519.5,4.25,0.058
1.6475,0,23,1095,0.37,0.91,4.052,0,0.53,1.08,0.22,4710,0,55,0.89,48,17,415,5,4.02,2.57,8,754.5,4.25,0.0089
1.6475,23,35,1044,0.06,0.7,5.759,0,0.3,1.01,0.41,3108,0,56,1.12,26,17,360,5,4.62,2.63,7,556,4.25,0.0134
1.6475,159,3,274,0.38,0.8,2.141,0,0.22,0,1.7,679,6,58,1.14,25,17,174,5,6.97,2.89,0,535.5,4.25,0.004
1.6475,146.8,5.5,402,0.4525,1.1975,3.457,0,0.345,0.95,0.64,2682.5,2.7,39.15,1.765,25.125,17,227,4,6.35,4.675,1,454.25,4.25,0.061
1.6475,370,22,815,0.28,1.255,7.299,0.0186,0.205,63.63,0.44,2568,9.5,93.5,1.725,31,17,284.5,7.5,6.18,4.93,4,1136,4.25,0.014
1.6475,0,32,1008,0.33,0.81,4.667,0,0.16,1.22,0.08,4261,0,218,0.89,42,17,425,10,4.14,2.3,9,3977,4.25,0.0017
1.6475,17,24,769,0.02,0.54,5.586,0,0.21,0.67,0.89,2051,2,27,0.96,21,17,362,4,4.85,2.01,4,365.8,4.25,0.0062
1.6475,154,4,260,0.38,0.81,2.177,0,0.23,0.03,1.74,700,8,109,1.16,25,17,178,9,6.96,2.92,0,1158,4.25,0.004
1.235,332,2,193.5,0.375,0.66,0.2815,0,0.215,0,1.36,340,0,42.5,0.795,23,17,203,3.5,7.14,2.92,0,409.2,5.75,0.004
2.8,117.2,3,213,0.33,0.81,0.511,0,0.15,0.02,1.09,593,0,58,0.72,19,17,140,5,6.83,1.97,0,509.5,4.25,0.004
1.6475,412,24,734.5,0.365,1.26,4.741,0.015,0.43,1.06,0.61,2071,48.5,40,1.96,31.5,17,295.5,4,6.32,4.78,3.5,331.95,4.25,0.013
1.6475,0,43,1050,0.37,0.82,5.099,0,0.19,1.3,0.08,4369,0,64,0.92,40,17,370,5,4.17,2.39,11,728,4.25,0.0014
1.6475,20.4,36,781,0.02,0.5,6.242,0,0.23,0.73,0.75,1984,16,32,1.06,19,17,346,4,4.93,1.85,5,365,4.25,0.0038
1.6475,157.6,4,255,0.42,0.82,7.253,0,0.34,0.02,1.67,667,3,79,1.19,25,17,199,5,6.84,2.99,0,727,4.25,0.004
1.6475,0,47,1164,0.37,0.81,3.457,0,0.24,1.26,0.1,4418,0,67,0.92,36,17,352,5,4.21,2.44,9,752.5,4.25,0.0004
1.6475,27.6,43,927,0.04,0.48,6.207,0,0.24,0.71,0.69,2047,29,36,1.04,18,17,417,4,4.88,1.78,5,426.9,4.25,0.0017
1.6475,168,3,275,0.39,0.82,2.165,0,0.24,0.02,1.88,655,5,80,1.17,30,17,202,5,6.81,2.99,0,756.5,4.25,0.004
1.6475,231,23,684,0.32,1.23,7.805,0,0.26,0.92,0.76,1765,50,39,1.99,32,17,326,4,6.44,4.6,3,351.3,4.25,0.008
1.6475,0,46,1237,0.46,0.84,5.921,0,0.18,1.38,0.1,4352,0,68,0.97,37,17,355,6,4.22,2.46,10,840.5,4.25,0.0005
1.6475,31.8,49,944,0.07,0.49,6.87,0,0.22,0.76,0.65,2129,39,52,1.08,19,17,459,4,4.90,1.83,7,554,4.25,0.0016
1.6475,164.2,3,228,0.41,0.84,2.351,0,0.22,0.03,1.79,634,15,65,1.18,26,17,223,4,6.75,3.07,0,541.5,4.25,0.004
1.6475,190.6,23,724,0.29,1.15,7.407,0,0.25,0.97,0.75,1963,45,43,1.9,30,17,281,5,6.32,4.39,5,387.7,4.25,0.009
1.6475,0,42,1128.5,0.41,0.8,5.4975,0.0099,0.175,1.205,0.105,4352.5,0,61.5,0.925,38,17,359.5,11.5,4.23,2.355,10.5,906.75,4.25,0.0006
1.6475,24,35,830,0.07,0.48,6.035,0,0.23,0.68,0.91,1958,40,28,1.09,19,17,360,5,4.94,1.77,0,354.8,4.25,0.0029
1.6475,167.6,3,249,0.4,0.83,2.325,0,0.23,0.03,1.9,644,11,66,1.18,26,17,223,7,6.71,3.02,1,570,4.25,0.004
2.21,174.2,3,171,0.39,0.66,0.428,0,0.19,0.07,1.44,380,4,42,0.78,23,17,226,5,6.98,2.94,0,416,4,0.004
1.88,126.2,3,248,0.58,1.07,0.59,0.0348,0.18,0.25,1.25,548,4,53,0.95,20,17,188,6,6.58,2.27,0,396.3,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1496,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,2544,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1262,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1079,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1449,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,2516,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1113,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,2528,2.7,39.15,0.98,25.125,17,227,4,4.26,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1506,2.7,39.15,0.98,25.125,17,227,4,5.04,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1134,2.7,39.15,0.98,25.125,17,227,4,6.36,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,2537,2.7,39.15,0.98,25.125,17,227,4,4.28,2.545,1,454.25,4.25,0.004
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1542,2.7,39.15,0.98,25.125,17,227,4,5.03,2.545,1,454.25,4.25,0.004
2.19,121,2.572,320,0.38,0.75,0.904,0.046,0.19,0.05,1.31,526,61,55.9,0.67,25.125,2,239,5,6.32,2.22,0,495.3,4.25,0.004
1.6475,89.2,9.41,496,0,0.52,4.28,0.0008,0.1,0.27,0.84,1177,48,26.7,1.06,25.125,7,188,3,5.89,2.14,0,277.2,4.25,0.004
1.6475,0,13.332,501,0.35,0.69,4.077,0,0.2,0.265,1.36,1238.5,1,41.9,0.98,25.125,5,307,3,4.27,2.545,0,672.5,4.25,0.004
1.6475,13,6.851,357,0,0.31,3.376,0.0063,0.05,0.17,1.34,1084,13,24.3,0.65,25.125,0,191,1,4.92,1.1,0,242.1,4.25,0.004
1.6475,165.8,2.697,267,0.39,0.71,2.487,0.0091,0.25,0.04,2.06,594,45,37,1.01,25.125,0,231,2,6.61,2.93,0,357.1,4.25,0.004
2.97,163.8,3.704,265,0.37,0.7,2.472,0.0071,0.23,0.03,1.83,603,43,52.2,0.99,25.125,0,225,4,6.66,2.84,0,432.5,3.75,0.004
1.6475,125.6,11.817,426,0.3,0.6,3.877,0.0153,0.09,0.3,1.16,1243,18,24.9,1.18,25.125,12,295,4,6.14,2.48,0,469.8,4.25,0.004
1.6475,0,16.422,515,0.38,0.26,4.342,0.0132,0.09,0.36,0.38,2030,0,47.4,0.61,25.125,20,252,5,4.29,0.7,0,683,4.25,0.004
1.6475,16.8,10.654,449,0,0.34,3.351,0.0081,0.08,0.27,1.65,1168,27,17.6,0.75,25.125,15,238,5,4.94,1.21,0,259.4,4.25,0.004
1.6475,162,5.194,265,0.36,0.69,2.455,0.0067,0.27,0.03,2.07,608,28,60.1,0.97,25.125,0,196,5,6.86,2.77,0,547.5,4.25,0.004
1.6475,165.4,12.2,463,0.35,0.76,3.531,0.0021,0.12,0.39,1.24,1282,19,20.2,1.43,25.6,20,258,3,6.33,3.15,0,202.5,4.25,0.004
1.6475,0,17.7,613,0.42,0.28,3.841,0.006,0.13,0.43,0.38,2274,0,48.4,0.67,27,38,299,5,4.25,0.75,0,652.6,4.25,0.004
1.6475,20,13.5,483,0,0.33,4.935,0.0057,0.06,0.28,1.64,1183,50,17.8,0.71,16.5,25,319,3,5.03,1.22,0,337.6,4.25,0.004
1.6475,157,3.9,250,0.37,0.7,2.507,0.0017,0.27,0.02,2.13,614,8,52.7,0.98,25.4,6,177,4,7.13,2.8,0,625.6,4.25,0.004
2.09,123.6,3.2,274,0.34,0.72,0.93,0.0446,0.23,0.03,1.5,530,41,45.9,0.6,25.125,2,161,4,6.86,2.05,0,511.5,4.25,0.004
3.91,166.8,3.41,246,0.4,0.75,2.608,0.0018,0.28,0.03,2.1,630,1,54.5,1.07,25.125,1,227,3,7.19,2.79,1,587.5,2.5,0.004
1.6475,170.8,12.82,515,0.35,0.79,4.626,0.0033,0.11,0.4,1.11,1428,16,34.3,1.63,25.2,11,220,2,6.40,3.09,0,325.8,4.25,0.004
1.6475,0,16.68,599,0.46,0.31,4.72,0.0061,0.1,0.46,0.23,2543,0,54.4,0.75,28,29,262,4,4.29,0.86,0,657,4.25,0.004
1.6475,23.6,15.5,550,0,0.37,3.829,0.006,0,0.33,0.31,1461,60,31.1,0.84,17.4,26,310,3,5.00,1.03,0,360.13,4.25,0.004
1.6475,163,3.39,258,0.42,0.71,2.4,0.0011,0.28,0.02,2.08,589,0,49,1.07,25,0,173,4,7.17,2.67,0,630.5,4.25,0.004
0.85,171,1.6,166,0,0,0.638,0,0.25,0,1.67,339,0,34.7,0,25.125,0,227,3,7.16,0,0,399.1,5.25,0.004
1.6475,229,16.5,575,0,0,3.829,0,0.1,0,0.98,1478,13,16.7,0,32,17,227,3,6.50,0,0,230.9,4.25,0.004
1.6475,0,18,617,0.53,0.33,4.937,0.0071,0.12,0.48,0.16,2592,0,34.1,0.86,28.5,55,227,4,4.29,0.9,0,570.5,4.25,0.004
1.6475,31.6,21.9,673,0,0.38,3.425,0.0072,0.08,0.37,0.97,1642,38,51.4,0.86,18,31,227,4,5.02,1.4,0,404.7,4.25,0.004
1.6475,165,2.3,249,0.4,0.71,2.398,0.0012,0.27,0.02,2.07,586,0,57.9,1.08,25.5,0,227,3,7.18,2.68,0,554.5,4.25,0.004
2.27,128.4,1.8,257,0,0,0.811,0,0.22,0,1.54,549,14,71.7,0,25.125,0,227,6,7.11,0,0,608,4.25,0.004
2.62,163,2.9,223,0,0,2.555,0,0.25,0,2.15,658,0,59.7,0,25.125,0,227,3,7.14,0,0,505.5,3.25,0.004
1.6475,277.4,20.315,708,0.48,1.08,3.635,0.0114,0.24,0.55,0.86,3085,19,58.9,2.19,36,33,329,5,6.61,4.32,0,429.4,4.25,0.004
1.6475,0,18.996,698,0.53,0.36,5.564,0.009,0.17,0.56,0.14,2769,0,58.9,0.93,27.9,67,327,5,4.32,1.09,0,502,4.25,0.004
1.6475,42,37.045,973,0,0.41,3.64,0.0091,0.19,0.51,0.91,1823,54,82.8,0.95,20,71,465,9,5.02,1.56,0,644.5,4.25,0.004
1.6475,168.4,4.025,233,0.42,0.69,2.302,0.002,0.25,0.02,2.13,620,0,117.7,1.1,24.5,3,171,9,7.15,2.66,0,1025.5,4.25,0.004
0.815,177.1,2.862,216.5,0.4,0.57,0.66,0.0012,0.215,0,1.68,370.5,0,41.7,0.715,25.125,1,208.5,4,7.21,2.685,0,368.8,5.25,0.004
1.6475,305.2,19.153,745,0.46,1.25,4.992,0.0059,0.16,0.64,0.88,1729,34,51.5,2.25,38,34,408,7,6.49,4.96,0,500.5,4.25,0.004
1.6475,0,17.07,745,0.55,0.41,5.542,0.0078,0.19,0.62,0.12,2981,0,54,0.97,30.9,68,346,5,4.30,1.24,0,452.6,4.25,0.004
1.6475,167.6,1.968,237,0.4,0.69,2.427,0.0011,0.24,0,2.09,625,0,93.98,1.09,24,5,172,4,7.06,2.59,0,990.5,4.25,0.004
1.94,132.8,1.708,249,0.365,0.7,0.6335,0.00075,0.18,0,1.48,549,0,66.55,0.67,25.125,6,135,5,7.15,1.875,0,462.3,4.25,0.004
3.415,165.9,3.2,250,0.425,0.705,2.4085,0.00065,0.225,0,1.815,610,0.5,62.95,1.11,25.125,0,175,5,7.21,2.7,0,564.25,3.75,0.004
1.6475,22.6,19.941,721,0,1.15,4.886,0.003,0.09,0.75,0.5,1983,48,35.3,1.91,34.9,31,324,4,6.46,4.75,0,388.8,4.25,0.004
1.6475,0,13.411,717,0.45,0.41,4.593,0.0073,0.16,0.59,0.05,3044,0,20.1,0.94,33.1,36,318,5,4.20,1.21,0,362.6,4.25,0.004
1.6475,42.6,28.764,945,0,0.48,3.636,0.0102,0.15,0.65,0.46,2285,24,48.6,1.07,21.1,49,473,3,4.89,1.79,1,472.2,4.25,0.004
1.6475,162.3,3.8105,270,0.43,0.7,2.374,0.0006,0.48,0.015,1.91,616.5,1.5,53.8,1.105,25.9,5.5,174.5,4,7.29,2.145,0,831.25,4.25,0.004
1,172.4,1.743,194,0.41,0.57,0.631,0.0008,0.27,0,1.63,349,2,32.8,0.72,25.125,2,200,4,7.24,2.66,0,332.9,6.5,0.004
1.6475,222.4,15.669,712,0,1.04,5.551,0.003,0.1,0.73,0.06,2093,37,0,1.78,32,29,277,3,6.34,4.3,0,286.4,4.25,0.004
1.6475,0,12.048,649,0.35,0.43,4.391,0.0076,0.13,0.6,0.44,3025,3,24.3,0.9,33.1,25,331,2,4.20,1.25,0,274.7,4.25,0.004
1.6475,43,21.733,834,0,0.47,4.346,0.0087,0.06,0.6,0.38,2112,25,15.8,1.04,21,32,421,2,4.91,1.78,0,269.8,4.25,0.004
1.45,128.4,2.51,233,0.37,0.69,0.544,0.0028,0.18,0,1.59,545,3,43.8,0.65,25.125,2,136,3,7.14,1.85,0,407.9,4.25,0.004
1.65,167.8,2.755,240,0.42,0.69,2.433,0.0007,0.18,0,1.46,597,1,41.8,1.09,25.125,3,178,2,7.13,2.64,1,382.8,3.75,0.004
1.6475,306.4,26.453,851,0,1.3,5.415,0.0055,0.08,0.96,0.49,2074,89,57,2.07,38.2,37,374,3,6.61,5.46,0,723,4.25,0.004
1.6475,0,15.913,732,0.39,0.49,4.618,0.0094,0.15,0.77,0.08,3512,3,21.2,0.98,33.9,34,367,1,4.23,1.48,0,311.9,4.25,0.004
1.6475,46.4,25.865,881,0,0.52,2.982,0.0102,0.14,0.72,0.37,2182,8,52.2,1.02,19.5,28,385,2,5.00,1.95,0,423.3,4.25,0.004
1.6475,165,2.959,236,0.37,0.75,2.286,0.0008,0.24,0,1.97,607,3,47.3,1.08,25.5,3,177,1,7.23,2.78,0,557,4.25,0.004
0.51,175.3,2.61,201,0.36,0.605,0.5555,0.00035,0.19,0,1.56,327,2,28.2,0.69,25.125,5.5,206,1,7.31,2.79,0,260.5,6.5,0.004
1.6475,313.2,29.073,908,0,1.49,5.666,0.0109,0.12,1.09,0.45,2174,82,89.7,1.98,42,43,176,4,6.39,5.95,1,884.5,4.25,0.004
1.6475,0,18.296,812,0.37,0.57,4.914,0.0095,0.14,0.89,0.08,3558,2,109.9,0.96,35.05,40,486,5,4.23,1.77,0,1598,4.25,0.004
1.6475,48.6,30.692,912,0,0.57,2.696,0.0114,0.21,0.78,0.44,2334,3,70.1,1.06,20.02,21,390,5,5.05,2.02,0,555.5,4.25,0.004
1.6475,164.6,5.5,227,0.38,0.75,2.327,0.0007,0.23,0,1.98,609,0,68.9,1.08,21.11,2,445,4,7.22,2.76,0,467.4,4.25,0.004
1.78,168.6,4.319,259,0.38,0.74,2.315,0.0015,0.33,0,1.95,619,2,57.1,1.06,25.125,2,227,3,7.19,2.77,0,344.3,4,0.004
1.6475,199.6,20.842,771,0,1.17,5.613,0.0126,0.09,1.05,0.37,2428,25,53.5,1.44,29.3,28,280,6,6.17,4.76,0,643.5,4.25,0.004
1.6475,0,13.305,675,0,0.48,3.667,0.0095,0.09,0.73,0.07,3239,0,30.3,0.79,36.4,30,359,4,4.15,1.42,0,348.1,4.25,0.004
1.6475,30.4,14.26,690,0,0.48,4.43,0.008,0.12,0.52,0.73,1905,4,47,0.77,21.6,27,392,2,4.82,1.74,0,233.9,4.25,0.004
1.6475,158.8,2.777,248,0.37,0.74,2.339,0.0005,0.24,0.01,1.91,642,0,79.6,1.07,25.2,3,172,3,7.14,2.73,1,495.6,4.25,0.004
0.86,168.2,2.8,196,0.38,0.6,0.61,0.0008,0.19,0,1.52,387,1,39.3,0.69,25.125,2,187,3,7.20,2.74,0,380.9,5,0.004
1.6475,378,40.816,1153,0.36,1.8,6.524,0.0135,0.19,1.47,0.43,2508,89,166.6,2.06,46.5,30,508,8,6.47,7.22,1,2312,4.25,0.004
1.6475,0,41.176,1094,0.44,0.67,5.707,0.0149,0.25,1.32,0.13,4215,0,57.4,1.04,39,39,169,4,4.18,2.05,2,540.5,4.25,0.004
1.6475,51.2,26.138,952,0,0.52,3.133,0.011,0.2,0.79,0.35,2121,2,67.1,1,19.9,16,342,3,5.07,2,0,728,4.25,0.004
1.6475,166.8,4.28,261,0.39,0.74,2.321,0.0007,0.23,0.01,1.99,587,1,52.2,1.09,25.5,1,163,2,7.45,2.75,1,654,4.25,0.004
0.89,117,3.453,289,0.32,0.72,0.663,0.0004,0.16,0.01,1.24,604,1,53.8,0.64,25.125,5,125,2,6.97,1.83,1,451.7,4.25,0.004
1.6475,345.8,30.11,915,0.34,1.57,6.822,0.0104,0.17,1.19,0.44,1875,87,86.5,1.93,41.9,33,537,7,6.52,6.17,1,954.7,4.25,0.004
1.6475,0,52.82,1167,0.46,0.67,5.468,0.0205,0.22,1.37,0.09,4538,0,56.9,0.94,39.7,66,355,5,4.09,2.01,2,612,4.25,0.004
1.6475,45.2,21.473,808,0,0.53,3.659,0.0116,0.12,0.81,0.33,2157,2,45.8,0.93,19.2,16,381,4,5.05,1.92,0,658,4.25,0.004
1.6475,162.2,2.777,252,0.38,0.74,2.328,0.0015,0.22,0,1.94,611,1,51.4,1.11,24.6,2,161,4,7.18,2.7,0,498,4.25,0.004
1.03,169.2,2.296,212,0.39,0.6,0.56,0.0012,0.21,0,1.52,376,3,33.7,0.71,25.125,9,185,2,7.30,2.73,0,365.8,6.25,0.004
1.6475,56.8,24.356,821,0,0.54,3.558,0.0116,0.1,0.83,0.33,2221,1,79,0.96,19.5,15,359,5,5.13,2.04,0,965.5,4.25,0.004
1.6475,169.6,3.5,264,0.39,0.75,2.338,0.0006,0.23,0,1.96,605,1,60,1.1,25.6,3,170,3,7.18,2.76,1,609,4.25,0.004
1.255,122,2.4845,267,0.335,0.73,0.647,0.0003,0.17,0,1.245,592,2,45,0.64,25.125,4.5,121.5,3,7.04,1.875,0,459.35,4.25,0.004
1.25,167.6,3.728,266,0.395,0.75,2.325,0.00085,0.245,0,1.915,625,1,49.1,1.095,25.125,3,174,2,7.14,2.82,1,387.05,4.25,0.004
1.6475,168,2.612,286,0.4,0.74,2.294,0.0006,0.24,0,1.97,639,2,47.6,1.1,25.3,6,164,3,7.36,2.77,0,469.9,4.25,0.004
1,173,2.529,212,0.38,0.61,0.544,0.0005,0.19,0,1.57,365,0,30.8,0.71,25.125,2,188,3,7.25,2.78,1,366,5.75,0.004
1.96,170,2.533,253,0.4,0.72,2.271,0.0006,0.24,0.02,1.88,578,1,47.3,1.13,25.125,0,174,3,7.19,2.66,1,320.7,4,0.004
1.545,177.4,1.8685,190,0.39,0.615,0.487,0,0.21,0,1.605,379.5,0,47.05,0.73,25.125,0,190,2.5,7.30,2.81,0,416.1,6.75,0.004
2.01,127.4,3.098,273,0.34,0.74,0.514,0,0.2,0,1.28,644,0,414.2,0.65,25.125,3,146,3,7.07,1.94,0,464.1,4.25,0.004
2.425,176.4,2.695,249.5,0.41,0.745,2.2115,0,0.23,0,1.98,642,2,35.35,1.095,25.125,0,181,3.5,7.15,2.78,0,334.35,3.25,0.004
