S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
99,2015-09-14,Chemistry,Site1,none (reference/control),Lake Water,2.11,351.00,3.50,239.50,0.44,0.78,1.93,0.00,0.23,0.00,2.08,524.01,1.00,38.50,1.09,26.50,22.55,175.00,4.00,7.25,2.85,0.00,663.50,4.75,0.01
100,2015-09-14,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,283.00,18.00,741.00,0.27,1.39,7.16,0.00,0.11,0.67,0.80,2285.84,9.00,17.00,1.88,39.00,22.55,410.00,6.00,6.26,5.57,2.00,669.00,4.54,0.00
101,2015-09-14,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,18.00,870.00,0.15,0.87,4.90,0.00,0.14,0.95,0.17,4666.42,0.00,45.00,0.88,43.00,22.55,317.00,5.00,4.22,2.62,5.00,1335.00,4.54,0.00
102,2015-09-14,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,60.00,10.00,655.00,0.02,0.69,5.29,0.00,0.25,0.68,0.70,2401.00,1.00,66.00,0.97,23.00,22.55,241.00,7.00,5.13,2.32,2.00,1268.00,4.54,0.00
103,2015-09-14,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,3.00,221.00,0.42,0.79,1.93,0.00,0.25,0.00,2.15,621.00,1.00,47.00,1.09,26.00,22.55,162.00,4.00,7.51,2.77,0.00,850.00,4.54,0.01
104,2015-09-17,Chemistry,Site3,none (reference/control),Lake Water,2.74,277.00,2.00,256.00,0.36,0.81,0.29,0.00,0.17,0.01,1.24,631.50,1.00,27.00,0.67,20.00,22.55,129.50,3.50,7.06,1.92,0.00,527.00,4.54,0.01
105,2015-09-21,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,60.00,10.00,694.00,0.11,0.67,5.88,0.00,0.31,0.70,0.62,2425.00,3.00,63.00,1.08,21.00,22.55,359.00,6.00,5.12,2.08,2.00,1117.00,4.54,0.00
106,2015-09-21,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,164.00,2.00,258.00,0.42,0.80,1.91,0.00,0.25,0.00,2.05,616.00,1.00,41.00,1.14,26.00,22.55,169.00,4.00,7.22,2.76,0.00,839.00,4.54,0.00
107,2015-09-21,Chemistry,Site4,fertilized,Lake Water,40.55,219.00,9.00,347.00,0.10,0.46,0.28,0.00,0.20,0.04,0.94,661.00,1.50,481.00,0.93,15.00,46.72,53.00,32.00,7.48,1.44,0.00,4207.50,1.00,0.00
108,2015-09-22,Chemistry,Site2,none (reference/control),Lake Water,0.97,342.00,2.00,198.50,0.38,0.63,0.58,0.00,0.20,0.00,1.59,351.00,1.50,17.50,0.73,24.00,22.55,184.50,3.00,7.33,2.71,0.00,512.00,6.50,0.01
109,2015-09-28,Chemistry,Site1,none (reference/control),Lake Water,2.53,342.00,2.00,251.50,0.45,0.81,1.92,0.00,0.27,0.00,2.13,626.50,1.00,25.00,1.11,27.50,22.55,186.50,4.00,7.14,2.81,0.00,561.50,5.25,0.01
110,2015-09-28,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,170.00,2.00,247.00,0.43,0.80,1.90,0.00,0.27,0.00,2.15,609.00,1.00,33.00,1.10,27.00,22.55,168.00,4.00,7.26,2.78,0.00,760.00,4.54,0.00
111,2015-10-01,Chemistry,Site3,none (reference/control),Lake Water,3.26,270.00,3.00,262.00,0.36,0.77,0.23,0.00,0.20,0.00,1.30,615.00,1.00,25.50,0.64,20.00,22.55,145.00,4.00,6.97,1.88,0.00,605.50,4.54,0.01
112,2015-10-05,Chemistry,Site4,fertilized,Lake Water,13.19,195.00,13.50,401.00,0.16,0.47,0.30,0.00,0.23,0.04,0.97,696.50,16.00,323.51,0.93,16.00,46.72,137.00,23.00,6.30,1.34,0.00,2151.17,1.25,0.00
113,2015-10-06,Chemistry,Site2,none (reference/control),Lake Water,0.99,175.00,2.00,186.00,0.35,0.58,0.55,0.00,0.19,0.00,1.60,351.00,1.00,52.89,0.65,24.00,22.55,177.00,4.00,7.29,2.60,0.00,550.26,6.00,0.01
114,2015-10-29,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,214.00,16.00,1103.00,0.44,1.56,7.68,0.00,0.62,0.59,1.72,1939.00,470.00,52.89,2.25,42.00,22.55,300.00,4.00,6.41,5.25,3.00,550.26,4.54,0.01
115,2015-10-29,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,14.00,901.00,0.09,1.22,5.41,0.00,0.19,0.97,0.43,5931.00,0.00,52.89,0.84,54.00,22.55,308.00,4.00,4.07,3.35,5.00,550.26,4.54,0.00
116,2015-10-29,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,43.00,17.00,734.00,0.10,0.86,7.88,0.00,0.44,0.77,0.55,2821.00,10.00,52.89,1.02,26.00,22.55,431.00,4.00,4.96,2.80,3.00,550.26,4.54,0.00
117,2015-10-29,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,170.00,3.00,209.00,0.38,0.86,1.97,0.00,0.25,0.00,1.73,582.00,2.00,52.89,0.98,28.00,22.55,196.00,7.00,6.97,3.05,0.00,550.26,4.54,0.00
118,2015-11-09,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,190.00,12.00,763.00,0.33,1.30,7.76,0.00,0.37,0.64,0.99,2402.00,80.00,52.89,2.09,35.00,22.55,242.00,4.00,6.34,4.67,2.00,550.26,4.54,0.01
119,2015-11-09,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,11.00,887.00,0.21,1.10,4.90,0.00,0.26,0.92,0.17,5158.00,1.00,52.89,1.00,46.00,22.55,292.00,4.00,4.15,3.03,5.00,550.26,4.54,0.00
120,2015-11-09,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,46.00,11.00,698.00,0.11,0.86,7.85,0.02,0.40,0.78,0.73,2721.00,9.00,52.89,1.24,24.00,22.55,435.00,3.00,5.04,2.69,3.00,550.26,4.54,0.00
121,2015-11-09,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,179.00,3.00,218.00,0.46,0.89,2.01,0.00,0.25,0.00,1.39,584.00,9.00,52.89,1.17,28.00,22.55,212.00,7.00,6.83,2.99,0.00,550.26,4.54,0.00
122,2015-11-09,Chemistry,Site4,fertilized,Lake Water,21.99,265.00,7.50,973.00,0.20,0.55,0.52,0.07,0.26,0.23,0.47,650.50,246.50,323.51,0.80,23.00,46.72,314.50,24.00,6.25,1.78,2.00,2151.17,1.50,0.00
123,2015-11-10,Chemistry,Site1,none (reference/control),Lake Water,3.33,184.00,3.00,243.00,0.44,0.84,2.04,0.00,0.25,0.00,1.38,574.00,10.00,52.89,1.02,27.00,22.55,218.00,5.00,6.75,2.87,0.00,550.26,4.63,0.01
124,2015-11-10,Chemistry,Site2,none (reference/control),Lake Water,1.42,355.00,2.50,182.50,0.40,0.68,0.59,0.06,0.17,0.00,0.88,340.00,2.00,52.89,0.68,24.50,22.55,232.50,4.00,6.81,2.84,0.00,550.26,5.50,0.01
125,2015-11-10,Chemistry,Site3,none (reference/control),Lake Water,3.30,144.00,3.00,235.00,0.35,0.81,0.24,0.04,0.21,0.02,1.21,602.00,4.00,52.89,0.58,21.00,22.55,206.00,7.00,6.54,1.90,0.00,550.26,4.54,0.01
126,2016-05-02,Chemistry,Site3,none (reference/control),Lake Water,1.09,125.00,3.00,299.00,0.36,0.75,0.60,0.02,0.19,0.02,1.36,508.00,52.00,36.00,0.63,21.00,22.55,214.00,8.00,6.39,1.94,0.00,421.60,4.54,0.01
127,2016-05-04,Chemistry,Site1,none (reference/control),Lake Water,1.90,123.39,4.00,261.00,0.43,0.76,2.20,0.00,0.20,0.00,1.84,509.00,37.00,36.00,1.04,27.00,22.55,234.00,4.00,6.64,2.79,1.00,398.20,4.00,0.01
128,2016-05-04,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,138.00,10.00,455.00,0.36,0.81,4.84,0.00,0.09,0.27,1.50,1363.00,13.00,0.00,1.45,25.00,22.55,218.00,2.00,6.22,3.11,3.00,266.90,4.54,0.01
129,2016-05-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,503.00,0.28,0.36,4.89,0.00,0.07,0.38,0.99,2082.00,3.00,0.00,0.71,32.00,22.55,232.00,3.00,4.29,1.03,4.00,307.10,4.54,0.00
130,2016-05-04,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,18.00,7.00,482.00,0.19,0.40,3.93,0.00,0.11,0.25,1.84,1154.00,11.00,29.00,0.81,19.00,22.55,247.00,3.00,4.98,1.31,2.00,240.30,4.54,0.00
131,2016-05-04,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,164.00,4.00,269.00,0.43,0.75,0.01,0.00,0.22,0.02,1.84,514.00,48.00,41.00,1.09,26.00,22.55,220.00,3.00,6.67,2.77,1.00,325.60,4.54,0.01
132,2016-05-09,Chemistry,Site2,none (reference/control),Lake Water,1.51,177.00,4.00,198.00,0.37,0.62,0.81,0.06,0.18,0.00,1.39,254.00,11.00,44.00,0.73,25.00,22.55,234.00,5.00,7.02,2.83,1.00,383.30,4.00,0.01
133,2016-05-10,Chemistry,Site4,fertilized,Lake Water,4.72,84.00,7.96,460.00,0.21,0.49,0.84,0.02,0.19,0.12,1.13,597.00,139.00,107.00,0.90,17.00,46.72,109.00,13.00,6.54,1.64,2.00,835.50,2.50,0.00
134,2016-05-11,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,184.00,9.00,488.00,0.44,1.04,4.66,0.00,0.10,0.35,1.70,1498.00,6.00,23.00,1.88,29.00,22.55,266.00,3.00,6.43,4.02,1.00,291.90,4.54,0.01
135,2016-05-11,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,11.00,526.00,0.28,0.41,5.36,0.00,0.09,0.46,1.01,2400.00,2.00,42.00,0.78,32.00,22.55,247.00,4.00,4.66,1.18,2.00,298.70,4.54,0.00
136,2016-05-11,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.00,6.00,441.00,0.14,0.43,3.93,0.00,0.10,0.29,2.05,1274.00,11.00,33.00,0.90,19.00,22.55,229.00,4.00,4.95,1.45,1.00,226.60,4.54,0.00
137,2016-05-11,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,329.00,2.00,223.50,0.48,0.84,2.26,0.00,0.23,0.00,2.06,507.50,14.00,67.50,1.17,26.50,22.55,198.00,5.00,6.94,3.10,1.00,525.50,4.54,0.01
138,2016-05-16,Chemistry,Site1,none (reference/control),Lake Water,4.35,167.00,3.00,248.00,0.51,0.89,2.31,0.00,0.25,0.00,2.19,515.00,10.00,62.00,1.24,27.00,22.55,204.00,7.00,6.94,3.32,1.00,518.50,3.25,0.01
139,2016-05-16,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,154.00,8.00,561.00,0.39,0.92,5.67,0.00,0.12,0.31,1.71,1500.00,13.00,30.00,1.79,27.00,22.55,206.00,3.00,6.41,3.56,1.00,204.40,4.54,0.02
140,2016-05-16,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,519.00,0.28,0.45,4.86,0.00,0.11,0.46,0.94,2334.00,2.00,24.00,0.83,32.00,22.55,236.00,5.00,4.27,1.29,2.00,243.80,4.54,0.00
141,2016-05-16,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,19.00,6.00,427.00,0.12,0.47,4.49,0.00,0.09,0.32,1.79,1359.00,15.00,0.00,0.96,21.00,22.55,280.00,3.00,4.90,1.63,1.00,134.50,4.54,0.00
142,2016-05-16,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,331.00,2.50,310.00,0.56,0.83,2.25,0.00,0.33,0.00,2.25,519.50,14.00,71.00,1.23,26.00,22.55,192.50,5.50,7.00,3.06,1.00,629.25,4.54,0.01
143,2016-05-18,Chemistry,Site4,fertilized,Lake Water,5.98,87.00,8.00,343.00,0.22,0.52,0.62,0.00,0.22,0.07,1.26,591.00,36.00,145.00,0.99,16.00,46.72,95.00,16.00,6.55,1.69,2.00,979.00,1.50,0.00
144,2016-05-24,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,232.00,12.00,716.00,0.59,1.17,4.51,0.00,0.26,0.42,1.37,1606.00,2.00,23.00,2.03,33.00,22.55,303.00,3.00,6.52,4.51,2.00,262.40,4.54,0.01
145,2016-05-24,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,11.00,533.00,0.24,0.45,5.03,0.00,0.12,0.50,0.58,2541.00,2.00,19.00,0.81,31.00,22.55,266.00,3.00,4.29,1.32,3.00,388.40,4.54,0.00
146,2016-05-24,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,28.00,8.00,617.00,0.27,0.45,4.60,0.00,0.34,0.35,1.71,1472.00,7.00,21.00,1.05,19.00,22.55,359.00,2.00,4.96,1.57,2.00,285.30,4.54,0.00
147,2016-05-24,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,172.00,9.00,227.00,0.44,0.82,2.16,0.00,0.25,0.00,2.16,537.00,2.00,132.00,1.13,26.00,22.55,189.00,12.00,7.01,3.04,0.00,1953.00,4.54,0.01
148,2016-05-25,Chemistry,Site2,none (reference/control),Lake Water,1.44,172.00,3.00,186.00,0.40,0.66,0.78,0.00,0.21,0.00,1.65,293.00,2.00,45.00,0.75,24.00,22.55,200.00,3.00,7.07,2.99,0.00,381.00,4.00,0.01
149,2016-05-26,Chemistry,Site3,none (reference/control),Lake Water,4.00,257.00,3.00,237.00,0.43,0.87,0.49,0.00,0.20,0.00,1.36,500.00,2.00,68.00,0.73,20.00,22.55,143.00,7.50,7.05,2.23,0.00,581.25,4.54,0.01
150,2016-05-30,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,177.00,11.00,737.00,0.37,0.99,5.64,0.00,0.16,0.41,1.15,1995.00,9.00,30.00,1.78,28.00,22.55,241.00,3.00,6.21,3.96,2.00,318.40,4.54,0.02
151,2016-05-30,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,594.00,0.25,0.51,4.12,0.00,0.12,0.53,0.43,2791.00,2.00,29.00,0.90,34.00,22.55,267.00,4.00,4.19,1.52,3.00,438.30,4.54,0.00
152,2016-05-30,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,9.00,566.00,0.10,0.53,4.54,0.00,0.15,0.41,1.37,1989.00,2.00,41.00,1.03,19.00,22.55,273.00,6.00,4.89,1.88,3.00,631.00,4.54,0.01
153,2016-05-30,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,163.00,4.00,265.00,0.42,0.78,2.05,0.00,0.28,0.00,2.16,547.00,2.00,83.00,1.07,25.00,22.55,171.00,9.00,7.18,2.85,0.00,1108.50,4.54,0.01
154,2016-05-30,Chemistry,Site4,fertilized,Lake Water,6.26,84.00,8.00,304.00,0.26,0.55,0.33,0.00,0.90,0.06,1.38,579.00,1.00,139.00,1.02,16.00,46.72,107.00,22.00,6.57,1.75,0.00,1043.00,1.75,0.00
155,2016-06-01,Chemistry,Site1,none (reference/control),Lake Water,2.96,164.00,3.00,229.00,0.39,0.76,2.13,0.00,0.34,0.02,2.10,524.00,3.00,112.00,1.07,26.00,22.55,188.00,4.00,7.12,2.80,0.00,909.20,3.25,0.01
156,2016-06-06,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,179.00,11.00,637.00,0.24,1.04,5.25,0.00,0.13,0.47,1.19,1951.00,14.00,5.00,1.59,29.00,22.55,240.00,2.00,6.27,4.06,2.00,135.20,4.54,0.02
157,2016-06-06,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.50,539.00,0.22,0.50,4.01,0.00,0.10,0.53,0.37,2809.50,6.50,7.00,0.88,34.00,22.55,256.50,2.00,4.23,1.43,2.50,1867.15,4.54,0.00
158,2016-06-06,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,15.00,8.00,472.00,0.07,0.52,4.35,0.00,0.27,0.35,1.66,1679.00,5.00,0.00,1.02,26.00,22.55,214.00,2.00,4.82,1.82,2.00,186.40,4.54,0.01
159,2016-06-06,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,4.00,274.00,0.48,0.88,1.98,0.00,0.28,0.00,2.07,589.00,4.00,153.00,1.17,26.00,22.55,172.00,11.00,7.10,3.20,0.00,2521.50,4.54,0.01
160,2016-06-07,Chemistry,Site2,none (reference/control),Lake Water,0.84,171.00,4.00,181.00,0.38,0.65,0.71,0.00,0.22,0.00,1.57,330.00,1.00,23.00,0.71,24.00,22.55,203.00,3.00,7.16,2.86,0.00,231.00,7.00,0.01
161,2016-06-08,Chemistry,Site3,none (reference/control),Lake Water,1.88,124.00,4.00,251.00,0.34,0.79,0.38,0.00,0.19,0.02,1.33,532.00,1.00,37.00,0.63,20.00,22.55,135.00,5.00,7.14,0.98,0.00,466.30,4.54,0.01
162,2016-06-13,Chemistry,Site1,none (reference/control),Lake Water,2.03,167.00,3.00,226.00,0.49,0.95,2.02,0.00,0.22,0.00,1.87,569.00,2.00,42.00,1.22,25.00,22.55,181.00,4.00,7.13,3.49,0.00,394.00,3.25,0.01
163,2016-06-13,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,620.00,14.00,747.00,0.29,1.21,3.14,0.00,0.11,0.59,0.91,1869.50,33.00,32.00,1.82,33.00,22.55,340.00,3.00,6.43,4.66,2.00,327.50,4.54,0.01
164,2016-06-13,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,588.00,0.17,0.53,4.64,0.00,0.08,0.58,0.25,3009.00,1.00,17.00,0.83,33.00,22.55,294.00,2.00,4.24,1.52,3.00,249.10,4.54,0.00
165,2016-06-13,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,23.00,8.00,502.00,0.04,0.50,4.56,0.00,0.05,0.40,1.30,1718.00,4.00,15.00,0.90,19.00,22.55,514.00,1.00,4.87,1.71,2.00,164.20,4.54,0.00
166,2016-06-13,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,123.39,3.00,313.00,0.51,0.80,2.01,0.00,0.28,0.00,1.99,572.00,2.00,61.00,1.10,26.00,22.55,179.00,4.00,7.14,2.80,0.00,746.50,4.54,0.01
167,2016-06-15,Chemistry,Site4,fertilized,Lake Water,28.12,193.00,6.50,312.00,0.18,0.48,0.21,0.00,0.19,0.03,1.14,617.50,0.00,362.00,0.88,15.00,46.72,58.50,25.00,7.22,1.45,0.00,1853.00,1.50,0.00
168,2016-06-20,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,207.00,13.00,761.00,0.24,1.13,5.83,0.00,0.14,0.61,0.74,2220.00,24.00,32.00,1.78,31.00,22.55,277.00,3.00,6.25,4.53,2.00,652.00,4.54,0.01
169,2016-06-20,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,612.00,0.10,0.54,4.36,0.00,0.08,0.58,0.21,3128.00,4.00,36.00,0.86,35.00,22.55,286.00,3.00,4.15,1.52,3.00,258.40,4.54,0.00
170,2016-06-20,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,8.00,540.00,0.04,0.52,4.93,0.00,0.09,0.43,1.24,1951.00,2.00,23.00,1.00,21.00,22.55,288.00,3.00,4.82,1.84,2.00,269.50,4.54,0.00
171,2016-06-20,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,167.00,3.00,248.00,0.41,0.79,1.94,0.00,0.24,0.00,1.93,577.00,4.00,78.00,1.08,26.00,22.55,175.00,5.00,7.08,2.82,0.00,591.00,4.54,0.01
172,2016-06-21,Chemistry,Site2,none (reference/control),Lake Water,1.50,169.00,3.00,192.00,0.37,0.62,0.61,0.00,0.18,0.00,1.45,305.00,1.00,46.00,0.70,23.00,22.55,196.00,4.00,7.34,2.72,0.00,490.70,7.75,0.01
173,2016-06-22,Chemistry,Site3,none (reference/control),Lake Water,1.60,256.00,3.50,255.00,0.35,0.77,0.34,0.00,0.21,0.00,1.37,505.50,0.50,65.00,0.64,20.00,22.55,138.00,3.50,7.11,1.89,0.00,507.75,4.54,0.01
174,2016-06-23,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,253.00,9.32,754.00,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1510.80,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.00
175,2016-06-23,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.32,663.00,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1510.80,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.00
176,2016-06-23,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,22.00,9.32,590.00,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1510.80,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.00
177,2016-06-27,Chemistry,Site1,none (reference/control),Lake Water,3.10,163.00,3.00,248.00,0.39,0.78,1.99,0.00,0.26,0.02,2.15,601.00,3.00,61.00,1.04,25.00,22.55,171.00,3.00,7.06,2.78,1.00,446.50,2.75,0.01
178,2016-06-27,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,98.00,11.00,718.00,0.08,0.85,4.48,0.00,0.03,0.50,0.56,2277.00,7.00,45.00,1.04,24.00,22.55,235.00,6.00,5.60,3.49,2.00,463.40,4.54,0.18
179,2016-06-27,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,570.00,0.07,0.47,2.80,0.02,0.07,0.40,0.21,2688.00,2.00,42.00,0.64,36.00,22.55,362.00,6.00,4.18,1.41,3.00,369.80,4.54,0.02
180,2016-06-27,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,13.00,8.00,681.00,0.08,0.53,4.09,0.00,0.08,0.29,1.09,1922.00,1.00,39.00,0.67,25.00,22.55,284.00,4.00,7.10,1.84,1.00,260.20,4.54,0.07
181,2016-06-27,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,161.00,2.00,288.00,0.41,0.77,1.99,0.00,0.22,0.00,1.80,602.00,4.00,55.00,1.05,22.00,22.55,168.00,5.00,4.72,2.74,1.00,481.80,4.54,0.01
182,2016-06-29,Chemistry,Site4,fertilized,Lake Water,58.96,114.00,6.00,382.00,0.13,0.48,0.57,0.00,0.14,0.07,0.89,780.00,9.00,387.00,0.86,14.00,46.72,17.00,29.00,7.50,1.50,1.00,1884.50,0.75,0.00
183,2016-07-04,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,149.00,13.00,724.00,0.24,0.97,5.48,0.00,0.17,0.67,0.74,2047.00,19.00,32.00,1.32,26.00,22.55,287.00,3.00,5.92,3.91,3.00,250.40,4.54,0.05
184,2016-07-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,7.00,588.00,0.04,0.43,4.22,0.02,0.06,0.58,0.45,2759.00,2.00,20.00,0.75,36.00,22.55,340.00,2.00,4.16,1.26,3.00,176.60,4.54,0.01
185,2016-07-04,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,21.00,6.50,495.50,0.03,0.47,4.84,0.00,0.05,0.36,1.53,1739.50,2.50,0.00,0.74,20.50,22.55,345.50,2.50,4.77,1.64,2.00,141.25,4.54,0.01
186,2016-07-04,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.00,2.00,290.00,0.39,0.76,2.04,0.00,0.28,0.02,1.72,628.00,5.00,81.00,1.09,25.00,22.55,182.00,4.00,6.98,2.71,1.75,596.50,4.54,0.01
187,2016-07-11,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,172.00,20.00,810.00,0.14,1.05,5.85,0.00,0.08,0.86,0.71,2088.00,33.00,46.00,1.37,29.00,22.55,328.00,4.00,6.01,4.33,4.00,336.20,4.54,0.02
188,2016-07-11,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,593.50,0.06,0.43,4.55,0.00,0.06,0.57,0.40,2758.50,1.00,9.50,0.80,37.50,22.55,374.00,2.00,4.17,1.22,4.00,210.55,4.54,0.00
189,2016-07-11,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,16.00,6.00,520.00,0.02,0.45,4.85,0.00,0.05,0.34,1.34,1707.00,1.00,16.00,0.77,20.00,22.55,357.00,2.00,4.78,1.62,2.00,121.90,4.54,0.01
190,2016-07-11,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,155.00,2.00,287.00,0.41,0.76,2.09,0.00,0.24,0.02,1.78,675.00,3.00,71.00,1.07,25.00,22.55,159.00,5.00,7.07,2.70,0.00,609.50,4.54,0.01
191,2016-07-12,Chemistry,Site2,none (reference/control),Lake Water,1.59,164.00,2.00,198.00,0.36,0.62,0.54,0.00,0.16,0.00,1.32,333.00,2.00,51.00,0.69,22.00,22.55,191.00,4.00,7.21,2.67,0.00,454.50,4.50,0.01
192,2016-07-13,Chemistry,Site3,none (reference/control),Lake Water,2.40,113.00,2.00,291.00,0.32,0.75,3.43,0.00,0.16,0.02,1.18,583.00,0.00,56.00,0.62,18.00,22.55,134.00,5.00,6.46,1.81,0.00,546.00,4.54,0.01
193,2016-07-18,Chemistry,Site1,none (reference/control),Lake Water,3.18,153.00,3.00,264.00,0.36,0.75,2.09,0.00,0.22,0.02,1.87,676.00,1.00,65.00,1.01,24.00,22.55,168.00,4.00,7.01,2.71,0.00,544.00,3.50,0.01
194,2016-07-18,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,187.00,21.00,851.00,0.17,1.04,6.30,0.00,0.12,0.86,0.62,2202.00,30.00,30.00,1.36,28.00,22.55,279.00,4.00,6.08,4.34,4.00,346.20,4.54,0.02
195,2016-07-18,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.00,643.00,0.05,0.46,4.62,0.00,0.05,0.60,0.30,2848.00,1.00,18.00,0.79,36.00,22.55,375.00,3.00,4.10,1.28,5.00,188.20,4.54,0.01
196,2016-07-18,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,13.00,8.00,535.00,0.01,0.47,5.39,0.00,0.05,0.32,1.11,1841.00,1.00,23.00,0.84,20.00,22.55,191.00,3.00,4.71,1.70,2.00,172.20,4.54,0.01
197,2016-07-18,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,316.00,3.00,256.00,0.36,0.76,2.11,0.00,0.21,0.02,1.84,689.50,0.00,54.50,1.02,24.00,22.55,160.00,3.00,7.01,2.73,1.00,540.50,4.54,0.01
